"","date","variable","value"
"637",2000-07-17,"GASREGW",1.546
"638",2000-07-24,"GASREGW",1.52
"639",2000-07-31,"GASREGW",1.471
"640",2000-08-01,"MICH",2.7
"641",2000-08-07,"GASREGW",1.462
"642",2000-08-14,"GASREGW",1.447
"643",2000-08-21,"GASREGW",1.468
"644",2000-08-28,"GASREGW",1.481
"645",2000-09-01,"MICH",2.9
"646",2000-09-04,"GASREGW",1.53
"647",2000-09-11,"GASREGW",1.561
"648",2000-09-18,"GASREGW",1.562
"649",2000-09-25,"GASREGW",1.548
"650",2000-10-01,"MICH",3.2
"651",2000-10-02,"GASREGW",1.524
"652",2000-10-09,"GASREGW",1.502
"653",2000-10-16,"GASREGW",1.539
"654",2000-10-23,"GASREGW",1.551
"655",2000-10-30,"GASREGW",1.545
"656",2000-11-01,"MICH",2.9
"657",2000-11-06,"GASREGW",1.526
"658",2000-11-13,"GASREGW",1.523
"659",2000-11-20,"GASREGW",1.51
"660",2000-11-27,"GASREGW",1.51
"661",2000-12-01,"MICH",2.8
"662",2000-12-04,"GASREGW",1.486
"663",2000-12-11,"GASREGW",1.449
"664",2000-12-18,"GASREGW",1.422
"665",2000-12-25,"GASREGW",1.414
"666",2001-01-01,"GASREGW",1.406
"667",2001-01-01,"MICH",3
"668",2001-01-08,"GASREGW",1.425
"669",2001-01-15,"GASREGW",1.474
"670",2001-01-22,"GASREGW",1.471
"671",2001-01-29,"GASREGW",1.46
"672",2001-02-01,"MICH",2.8
"673",2001-02-05,"GASREGW",1.443
"674",2001-02-12,"GASREGW",1.476
"675",2001-02-19,"GASREGW",1.449
"676",2001-02-26,"GASREGW",1.431
"677",2001-03-01,"MICH",2.8
"678",2001-03-05,"GASREGW",1.417
"679",2001-03-12,"GASREGW",1.412
